,net,mip,grad,task
0,0.002754688262939453,0.0864408016204834,0.8426566123962402,seq
1,0.0015530586242675781,0.12471914291381836,0.7345943450927734,seq
2,0.00145721435546875,0.08239388465881348,0.8018572330474854,seq
3,0.0014646053314208984,0.08316254615783691,0.8088557720184326,seq
4,0.0014774799346923828,0.08414077758789062,1.0559289455413818,seq
5,0.0014629364013671875,0.08474969863891602,0.8615903854370117,seq
6,0.0014529228210449219,0.12761807441711426,1.1216435432434082,seq
7,0.001538991928100586,0.09692955017089844,0.8945896625518799,seq
8,0.0015671253204345703,0.09491205215454102,0.7180202007293701,seq
9,0.0014464855194091797,0.08158397674560547,0.9853315353393555,seq
10,0.0015723705291748047,0.08750295639038086,0.909400463104248,seq
11,0.001506805419921875,0.1358506679534912,0.7717900276184082,seq
12,0.0029311180114746094,0.08365011215209961,0.7895462512969971,seq
13,0.0015931129455566406,0.08736228942871094,0.8861947059631348,seq
14,0.001501321792602539,0.10928225517272949,0.8020942211151123,seq
15,0.0014452934265136719,0.11112427711486816,0.9230384826660156,seq
16,0.0014722347259521484,0.08433842658996582,0.8499605655670166,seq
17,0.0016946792602539062,0.13327288627624512,0.8394031524658203,seq
18,0.0014524459838867188,0.08688998222351074,0.7115960121154785,seq
19,0.0015382766723632812,0.08781576156616211,0.8422420024871826,seq
20,0.003199338912963867,0.08309054374694824,0.8215861320495605,seq
21,0.0014574527740478516,0.08373451232910156,0.9278650283813477,seq
22,0.0015285015106201172,0.12891912460327148,0.8672854900360107,seq
23,0.001445770263671875,0.08630084991455078,0.7594819068908691,seq
24,0.0014464855194091797,0.08535289764404297,0.8391814231872559,seq
25,0.0015382766723632812,0.08614277839660645,0.8698060512542725,seq
26,0.0016694068908691406,0.08498525619506836,0.9168505668640137,seq
27,0.0015759468078613281,0.1281452178955078,0.9066312313079834,seq
28,0.0016856193542480469,0.08929586410522461,0.8812696933746338,seq
29,0.0017566680908203125,0.08359384536743164,0.8125269412994385,seq
30,0.0019457340240478516,0.08396530151367188,0.8394830226898193,seq
31,0.0016973018646240234,0.08557462692260742,0.8950400352478027,seq
32,0.0016047954559326172,0.16492676734924316,0.7923092842102051,seq
33,0.0014660358428955078,0.11647605895996094,0.7935349941253662,seq
34,0.0014870166778564453,0.11657929420471191,0.7547917366027832,seq
35,0.001474142074584961,0.11151528358459473,0.9201188087463379,seq
36,0.0017445087432861328,0.10351037979125977,0.9125878810882568,seq
37,0.0015015602111816406,0.16363143920898438,0.8088576793670654,seq
38,0.0015544891357421875,0.08790373802185059,0.756533145904541,seq
39,0.0029935836791992188,0.08354520797729492,0.8670146465301514,seq
40,0.0015337467193603516,0.08857917785644531,0.8622410297393799,seq
41,0.0014719963073730469,0.08435273170471191,0.8453536033630371,seq
42,0.0014243125915527344,0.1306164264678955,0.8368666172027588,seq
