,seq,cover,branch,loop,signal
0,268.20 ± 80.45,1090.60 ± 428.56,49.00 ± 24.23,119.20 ± 23.07,352.40 ± 289.79
1,710.20 ± 193.76,1035.00 ± 370.58,43.20 ± 9.74,112.60 ± 35.57,588.00 ± 128.79
